transaction_id,customer_id,transaction_amount,transaction_datetime
0011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3g,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,55.42,2025-01-01 10:15:30
1122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4h,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,12.99,2025-01-01 14:45:00
2233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5i,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,98.75,2025-01-02 08:00:15
3344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6j,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,3.5,2025-01-02 18:30:45
4455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7k,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,76.1,2025-01-03 09:10:05
5566f77a-88b9-9c0d-1e2f-3g4h5i6j7k8l,b9a8c7d6-e5f4-3g2h-1i0j-9k8l7m6n5o4p,22.01,2025-01-03 15:55:50
6677g88b-99c0-0d1e-2f3g-4h5i6j7k8l9m,6e7f8g9h-0a1b-2c3d-4e5f-6g7h8i9j0k1l,41.67,2025-01-04 06:20:10
7788h99c-00d1-1e2f-3g4h-5i6j7k8l9m0n,5d4c3b2a-1e0f-9g8h-7i6j-5k4l3m2n1o0p,88,2025-01-04 12:40:25
8899i00d-11e2-2f3g-4h5i-6j7k8l9m0n1o,9c8b7a6d-5f4e-3d2c-1b0a-9d8c7b6a5f4e,1.5,2025-01-05 11:05:35
9900j11e-22f3-3g4h-5i6j-7k8l9m0n1o2p,1b2c3d4e-5f6g-7h8i-9j0k-1l2m3n4o5p6q,65.34,2025-01-05 16:15:40
a011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3h,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,85.12,2025-01-06 09:11:00
b122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4i,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,33.55,2025-01-06 13:22:00
c233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5j,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,14.05,2025-01-07 07:44:00
d344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6k,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,99.1,2025-01-07 15:30:00
e455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7l,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,7.7,2025-01-08 11:00:00
f566f77a-88b9-9c0d-1e2f-3g4h5i6j7k8m,b9a8c7d6-e5f4-3g2h-1i0j-9k8l7m6n5o4p,45.88,2025-01-08 19:15:00
0677g88b-99c0-0d1e-2f3g-4h5i6j7k8l9n,6e7f8g9h-0a1b-2c3d-4e5f-6g7h8i9j0k1l,61.02,2025-01-09 05:00:00
1788h99c-00d1-1e2f-3g4h-5i6j7k8l9m0o,5d4c3b2a-1e0f-9g8h-7i6j-5k4l3m2n1o0p,11.2,2025-01-09 16:50:00
2899i00d-11e2-2f3g-4h5i-6j7k8l9m0n1p,9c8b7a6d-5f4e-3d2c-1b0a-9d8c7b6a5f4e,5.01,2025-01-10 10:00:00
3900j11e-22f3-3g4h-5i6j-7k8l9m0n1o2q,1b2c3d4e-5f6g-7h8i-9j0k-1l2m3n4o5p6q,70.3,2025-01-10 17:00:00
4011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3i,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,25.99,2025-01-11 08:00:00
5122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4j,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,1.55,2025-01-11 12:00:00
6233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5k,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,52.34,2025-01-12 09:30:00
7344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6l,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,18,2025-01-12 16:30:00
8455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7m,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,81.22,2025-01-13 10:45:00
9566f77a-88b9-9c0d-1e2f-3g4h5i6j7k8n,b9a8c7d6-e5f4-3g2h-1i0j-9k8l7m6n5o4p,36.75,2025-01-13 18:45:00
a677g88b-99c0-0d1e-2f3g-4h5i6j7k8l9o,6e7f8g9h-0a1b-2c3d-4e5f-6g7h8i9j0k1l,92.5,2025-01-14 06:10:00
b788h99c-00d1-1e2f-3g4h-5i6j7k8l9m0p,5d4c3b2a-1e0f-9g8h-7i6j-5k4l3m2n1o0p,6,2025-01-14 13:50:00
c899i00d-11e2-2f3g-4h5i-6j7k8l9m0n1q,9c8b7a6d-5f4e-3d2c-1b0a-9d8c7b6a5f4e,75.1,2025-01-15 11:30:00
d900j11e-22f3-3g4h-5i6j-7k8l9m0n1o2r,1b2c3d4e-5f6g-7h8i-9j0k-1l2m3n4o5p6q,28.4,2025-01-15 17:30:00
e011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3j,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,44.99,2025-01-16 09:00:00
f122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4k,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,10,2025-01-16 14:00:00
0233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5l,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,8.15,2025-01-17 07:00:00
1344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6m,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,58.9,2025-01-17 19:00:00
2455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7n,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,31.2,2025-01-18 10:00:00
3566f77a-88b9-9c0d-1e2f-3g4h5i6j7k8o,b9a8c7d6-e5f4-3g2h-1i0j-9k8l7m6n5o4p,15.5,2025-01-18 16:00:00
4677g88b-99c0-0d1e-2f3g-4h5i6j7k8l9p,6e7f8g9h-0a1b-2c3d-4e5f-6g7h8i9j0k1l,77.3,2025-01-19 06:40:00
5788h99c-00d1-1e2f-3g4h-5i6j7k8l9m0q,5d4c3b2a-1e0f-9g8h-7i6j-5k4l3m2n1o0p,49.25,2025-01-19 12:00:00
6899i00d-11e2-2f3g-4h5i-6j7k8l9m0n1r,9c8b7a6d-5f4e-3d2c-1b0a-9d8c7b6a5f4e,88.4,2025-01-20 11:15:00
7900j11e-22f3-3g4h-5i6j-7k8l9m0n1o2s,1b2c3d4e-5f6g-7h8i-9j0k-1l2m3n4o5p6q,10.11,2025-01-20 17:15:00
8011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3k,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,90,2025-01-21 08:30:00
9122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4l,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,42.5,2025-01-21 13:00:00
a233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5m,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,7,2025-01-22 09:00:00
b344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6n,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,1.99,2025-01-22 15:00:00
c455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7o,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,53.8,2025-01-23 10:20:00
d566f77a-88b9-9c0d-1e2f-3g4h5i6j7k8p,b9a8c7d6-e5f4-3g2h-1i0j-9k8l7m6n5o4p,11.11,2025-01-23 18:20:00
e677g88b-99c0-0d1e-2f3g-4h5i6j7k8l9q,6e7f8g9h-0a1b-2c3d-4e5f-6g7h8i9j0k1l,68.99,2025-01-24 07:30:00
f788h99c-00d1-1e2f-3g4h-5i6j7k8l9m0r,5d4c3b2a-1e0f-9g8h-7i6j-5k4l3m2n1o0p,24.5,2025-01-24 13:30:00
0899i00d-11e2-2f3g-4h5i-6j7k8l9m0n1s,9c8b7a6d-5f4e-3d2c-1b0a-9d8c7b6a5f4e,5,2025-01-25 10:50:00
1900j11e-22f3-3g4h-5i6j-7k8l9m0n1o2t,1b2c3d4e-5f6g-7h8i-9j0k-1l2m3n4o5p6q,39.6,2025-01-25 16:50:00
2011a22b-33c4-4d5e-6f7a-8b9c0d1e2f3l,a80d5b4a-10c0-4f51-a20c-8432b03f0b98,72.2,2025-01-26 08:00:00
3122b33c-44d5-5e6f-7a8b-9c0d1e2f3g4m,0f9b3e1c-7f2a-4d3b-8e1d-5c6a4b7d8e9f,16.45,2025-01-26 12:00:00
4233c44d-55e6-6f7a-8b9c-0d1e2f3g4h5n,c2d4a5b6-9g0h-1i2j-3k4l-5m6n7o8p9q0r,95,2025-01-27 09:30:00
5344d55e-66f7-7a8b-9c0d-1e2f3g4h5i6o,f1e2d3c4-b5a6-7e8f-9a0b-1c2d3e4f5a6b,1.01,2025-01-27 16:30:00
6455e66f-77a8-8b9c-0d1e-2f3g4h5i6j7p,3a5b7c9d-1e3f-5g7h-9i1j-3k5l7m9n1o3p,87.05,2025-01-28 10:45:00
